City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,northam,51.0333,-4.2167,9.51,77,82,5.92,GB,1733484853
122,happy valley-goose bay,53.3168,-60.3315,-2.83,93,100,12.86,CA,1733484854
123,georgetown,5.4112,100.3354,30.96,68,20,2.06,MY,1733484855
124,jaicos,-7.3592,-41.1378,29.29,46,39,2.41,BR,1733484856
125,novodvinsk,64.4165,40.8122,-7.14,87,21,3.49,RU,1733484858
126,utrik,11.2278,169.8474,27.51,82,12,11.5,MH,1733484859
127,kidal,18.4411,1.4078,25.94,11,90,8.97,ML,1733484860
128,saurimo,-9.6608,20.3916,28.9,49,17,1.98,AO,1733484861
129,remire-montjoly,4.9167,-52.2667,28.02,78,20,3.6,GF,1733484862
130,stanley,54.868,-1.6985,6.4,79,20,5.66,GB,1733484863
131,tibati,6.4667,12.6333,32.75,18,20,2.86,CM,1733484864
132,saint-joseph,-21.3667,55.6167,28.21,79,39,3.88,RE,1733484865
133,zaragoza,41.6561,-0.8773,19.25,57,40,8.23,ES,1733484868
134,orizona,-17.0314,-48.2958,24.11,66,82,3.66,BR,1733484869
135,san antonio de pale,-1.4014,5.6325,26.56,82,61,5.15,GQ,1733484870
136,lihue,21.9789,-159.3672,20.77,88,40,5.66,US,1733484871
137,colac,-38.3333,143.5833,16.89,97,100,5.28,AU,1733484872
138,hermanus,-34.4187,19.2345,21.56,73,83,7.06,ZA,1733484874
139,agat village,13.3886,144.6585,28.53,88,20,4.63,GU,1733484875
140,nouadhibou,20.931,-17.0347,23.99,38,100,5.14,MR,1733484876
141,pangai,-19.8,-174.35,25.96,85,100,6.11,TO,1733484877
142,opuwo,-18.0607,13.84,35.19,9,36,0.93,NA,1733484878
143,port alfred,-33.5906,26.891,26.77,54,44,4.92,ZA,1733484880
144,al bayda',32.7627,21.7551,15.65,39,6,6.56,LY,1733484881
145,dhidhdhoo,6.8833,73.1,27.05,66,30,0.89,MV,1733484882
146,barra de santo antonio,-9.4047,-35.5072,27.13,67,87,4.18,BR,1733484883
147,keflavik,64.0049,-22.5624,-2.76,86,20,3.09,IS,1733484884
148,sabang,5.8933,95.3214,26.1,85,81,4.68,ID,1733484885
149,singaraja,-8.112,115.0882,25.92,95,100,3.95,ID,1733484886
150,crane,31.3974,-102.3501,7.69,53,100,5.69,US,1733484887
151,goundam,16.4145,-3.6708,27.76,12,69,8.29,ML,1733484888
152,pushkinskiye gory,57.0209,28.9103,-1.05,72,100,3.99,RU,1733484889
153,steszew,52.2837,16.7009,2.37,95,75,5.14,PL,1733484891
154,sosnovo-ozerskoye,52.5249,111.5418,-21.16,99,52,3.67,RU,1733484892
155,huayin,34.5675,110.0921,6.3,39,17,2.5,CN,1733484893
156,rocky mountain house,52.3668,-114.9188,-7.94,100,65,1.03,CA,1733484605
157,kailua-kona,19.6406,-155.9956,22.98,68,0,1.54,US,1733484895
158,carnaiba,-8.7,-37.6667,28.87,42,86,5.65,BR,1733484829
159,marsabit,2.3284,37.9899,25.76,35,96,5.16,KE,1733484897
160,isangel,-19.55,169.2667,25.14,87,99,4.57,VU,1733484898
161,cabo san lucas,22.8909,-109.9124,19.31,68,58,3.36,MX,1733484605
162,borovskoy,53.8,64.15,-9.23,94,98,4.87,KZ,1733484900
163,uturoa,-16.7333,-151.4333,27.41,75,96,6.76,PF,1733484901
164,vernon,50.2581,-119.2691,1.36,77,79,2.57,CA,1733484902
165,nitro,38.4148,-81.844,-4.98,71,4,2.17,US,1733484904
166,puntarenas,9.9763,-84.8384,23.8,84,34,1.25,CR,1733484905
167,enewetak,11.3474,162.3373,28.38,80,84,10.4,MH,1733484906
168,grivenskaya,45.6473,38.176,8.14,74,98,1.85,RU,1733484907
169,harstad,68.799,16.5293,0.64,75,100,3.41,NO,1733484908
170,san pedro pochutla,15.7333,-96.4667,22.62,70,16,1.35,MX,1733484909
171,ulsteinvik,62.3432,5.8487,8.07,92,100,6.11,NO,1733484910
172,mabaruma,8.2,-59.7833,25.1,79,53,0.97,GY,1733484911
173,tunceli,39.1083,39.5471,7.3,72,17,0.18,TR,1733484912
174,mugumu,-1.85,34.7,24.41,54,45,2.18,TZ,1733484913
175,kapuskasing,49.4169,-82.4331,-10.95,85,100,2.57,CA,1733484662
176,alexandria,31.2156,29.9553,20.53,57,2,3.23,EG,1733484915
177,tocopilla,-22.092,-70.1979,20.34,71,78,4.8,CL,1733484666
178,xinyuan,37.3,99.0,-11.58,60,45,2.73,CN,1733484918
179,oranjemund,-28.55,16.4333,20.63,62,97,7.11,NA,1733484919
180,iola,37.9245,-95.4,-6.97,76,20,0.89,US,1733484643
181,magadan,59.5667,150.8,-8.67,79,68,6.17,RU,1733484654
182,mandal,25.45,74.5667,21.75,22,64,0.67,IN,1733484922
183,thompson,55.7435,-97.8558,-27.91,76,20,1.54,CA,1733484923
184,karratha,-20.7377,116.8463,28.39,58,91,5.04,AU,1733484924
185,siocon,7.7061,122.1353,26.91,87,100,2.98,PH,1733484925
186,broken hill,-31.95,141.4333,26.31,65,85,5.34,AU,1733484926
187,marsassoum,12.8275,-15.9806,31.19,13,100,5.72,SN,1733484927
188,la ronge,55.1001,-105.2842,-8.86,92,100,5.14,CA,1733484929
189,saint-pierre,-21.3393,55.4781,28.82,54,75,3.6,RE,1733484930
190,kayes,14.0,-11.0,30.26,10,95,4.86,ML,1733484931
191,bodo,67.28,14.405,3.02,65,75,9.77,NO,1733484932
192,kerikeri,-35.2268,173.9474,15.51,82,6,1.75,NZ,1733484934
193,port shepstone,-30.7414,30.455,23.68,75,100,3.57,ZA,1733484935
194,ise,34.4833,136.7,9.68,56,81,5.71,JP,1733484936
195,praya,14.9215,-23.5087,29.3,51,20,5.14,CV,1733484727
196,richmond,37.5538,-77.4603,-3.76,65,0,3.09,US,1733484794
197,hami,42.8,93.45,-2.78,72,4,2.04,CN,1733484941
198,fereydunshahr,32.941,50.121,5.28,37,0,1.83,IR,1733484942
199,island harbour,50.724,-1.2758,9.04,67,56,1.79,GB,1733484943
200,beira,-19.8436,34.8389,32.05,79,20,6.69,MZ,1733484944
201,yarmouth,41.7057,-70.2286,1.09,69,0,12.52,US,1733484946
202,palmer,42.1584,-72.3287,-3.25,52,100,7.2,US,1733484947
203,longyearbyen,78.2186,15.6401,-4.09,74,20,9.77,SJ,1733484948
204,katsuura,35.1333,140.3,12.09,68,36,7.29,JP,1733484950
205,fort bragg,35.139,-79.006,-3.09,52,0,2.06,US,1733484951
206,papao,-17.75,-149.55,26.82,76,100,8.09,PF,1733484952
207,olinda,-8.0089,-34.8553,28.85,65,75,7.72,BR,1733484713
208,tangalle,6.024,80.7911,26.47,84,98,1.68,LK,1733484954
209,ormara,25.2088,64.6357,25.84,39,19,7.42,PK,1733484955
210,pointe aux piments,-20.0628,57.5131,30.28,68,14,7.85,MU,1733484956
211,ayr,55.4627,-4.6339,6.99,90,75,4.63,GB,1733484957
212,sitges,41.2351,1.8119,17.4,60,100,2.94,ES,1733484716
213,holualoa,19.6228,-155.9522,20.91,70,0,1.54,US,1733484883
214,westerland,54.9079,8.3033,6.07,93,75,4.63,DE,1733484960
215,quellon,-43.1167,-73.6167,9.17,78,100,3.38,CL,1733484961
216,dunedin,-45.8742,170.5036,13.78,96,84,0.45,NZ,1733484963
217,ola,59.5833,151.2833,-9.99,80,92,6.23,RU,1733484964
218,hafar al-batin,28.4328,45.9708,22.32,30,0,3.09,SA,1733484965
219,zaozersk,69.4005,32.4476,-6.37,86,98,6.3,RU,1733484966
220,iskateley,67.6803,53.1512,-2.79,90,89,7.57,RU,1733484967
221,talitsa,56.8804,60.0213,-9.35,93,11,3.72,RU,1733484968
222,chifeng,42.2683,118.9636,-8.33,46,54,1.86,CN,1733484969
223,achinsk,56.2694,90.4993,-12.12,97,100,2.47,RU,1733484970
224,progreso,21.2833,-89.6667,19.74,84,2,2.14,MX,1733484971
225,port-vila,-17.7338,168.3219,25.4,86,100,3.49,VU,1733484802
226,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,73,75,4.0,RU,1733484974
227,arraial do cabo,-22.9661,-42.0278,26.98,78,20,2.57,BR,1733484975
228,ouadda,8.0777,22.4007,35.27,14,12,2.23,CF,1733484976
229,kirakira,-10.4544,161.9205,26.7,77,100,3.34,SB,1733484977
230,mata-utu,-13.2816,-176.1745,28.05,81,100,5.86,WF,1733484978
231,prabumulih,-3.45,104.25,25.5,84,100,0.35,ID,1733484979
232,tindouf,27.6711,-8.1474,19.25,30,0,5.14,DZ,1733484980
233,yelizovo,53.1873,158.3805,-7.92,73,75,4.0,RU,1733484981
234,guozhen,34.3659,107.359,5.35,42,23,1.42,CN,1733484983
235,sur,22.5667,59.5289,25.68,53,68,7.27,OM,1733484984
236,borgarnes,64.5383,-21.9206,-8.68,97,66,3.36,IS,1733484985
237,yarkovo,57.4028,67.0786,-9.47,93,12,2.07,RU,1733484986
238,dudinka,69.4058,86.1778,-16.72,97,100,3.65,RU,1733484987
239,hebron,31.5333,35.1,17.19,26,31,3.42,PS,1733484988
240,lubliniec,50.669,18.6844,0.5,87,100,6.06,PL,1733484989
241,miyaly,48.8844,53.7836,-2.46,55,0,4.46,KZ,1733484990
242,manadhoo,5.7667,73.3833,27.24,66,65,1.92,MV,1733484992
243,nizhniy kuranakh,58.8353,125.4869,-14.59,96,100,2.36,RU,1733484993
244,pauini,-7.7136,-66.9764,23.83,93,100,1.04,BR,1733484994
245,kirkland lake,48.1446,-80.0377,-11.84,79,100,0.51,CA,1733484995
246,mbandaka,0.0487,18.2603,25.2,72,100,1.31,CD,1733484996
247,dakhla,23.6848,-15.958,24.01,35,100,6.69,EH,1733484997
248,buta,2.7858,24.73,35.62,29,78,0.27,CD,1733484998
249,ahwa,20.75,73.6833,28.05,47,4,3.09,IN,1733484999
250,vrangel',42.7297,133.0839,-6.97,48,8,6.78,RU,1733485000
251,tionk essil,12.7856,-16.5217,32.28,14,95,7.04,SN,1733485001
252,worgl,47.4833,12.0667,7.93,70,73,2.31,AT,1733485003
253,sanluri,39.5611,8.8994,14.26,69,98,5.18,IT,1733485004
254,singkawang,0.9,109.0,26.33,85,94,0.45,ID,1733485005
255,aasiaat,68.7098,-52.8699,-19.63,93,97,3.42,GL,1733485006
256,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,1733485007
257,cambria,35.5641,-121.0808,10.59,78,0,2.24,US,1733484734
258,coquimbo,-29.9533,-71.3436,13.85,76,0,1.54,CL,1733484898
259,pithoragarh,29.5833,80.2167,7.42,61,0,2.72,IN,1733485012
260,la huaca,-4.9117,-80.96,19.74,76,55,3.54,PE,1733485013
261,new norfolk,-42.7826,147.0587,15.51,95,96,1.0,AU,1733485014
262,dodge city,37.7528,-100.0171,-2.64,68,0,4.63,US,1733484845
263,greymouth,-42.4667,171.2,14.28,91,79,0.82,NZ,1733485016
264,el granada,37.5027,-122.4694,12.93,81,0,1.54,US,1733485017
265,dompu,-8.5356,118.4622,23.86,99,100,0.52,ID,1733485018
266,wuxue,29.8506,115.5525,12.7,44,60,0.81,CN,1733485019
267,chukhloma,58.7525,42.6825,-6.42,92,45,2.75,RU,1733485020
268,tual,-5.6667,132.75,28.62,78,100,2.28,ID,1733485021
269,tubarjal,30.4999,38.216,18.79,28,91,7.43,SA,1733485022
270,ceeldheer,3.8488,47.1806,30.17,53,2,9.5,SO,1733485024
271,pangody,65.85,74.4859,-13.2,97,98,2.02,RU,1733485025
272,afaahiti,-17.75,-149.2833,25.71,79,98,8.04,PF,1733485026
273,lampazos de naranjo,27.0167,-100.5167,13.99,93,100,3.16,MX,1733485027
274,port blair,11.6667,92.75,28.02,74,75,2.57,IN,1733485028
275,roma,43.2128,-75.4557,-6.29,82,0,4.12,US,1733484963
276,ancud,-41.8697,-73.8203,9.77,78,99,0.87,CL,1733485031
277,kristiansund,63.1115,7.732,7.36,49,75,4.12,NO,1733485032
278,ar raqqah,35.95,39.0167,17.96,34,76,3.6,SY,1733485033
279,mount gambier,-37.8333,140.7667,18.71,86,70,2.57,AU,1733485034
280,dassa-zoume,7.75,2.1833,34.99,16,5,1.9,BJ,1733485036
281,phan thiet,10.9333,108.1,25.36,91,83,2.64,VN,1733485037
282,savonlinna,61.8699,28.88,-2.97,93,100,5.66,FI,1733485038
283,veraval,20.9,70.3667,27.24,52,75,5.54,IN,1733485039
284,cedeira,43.6797,-8.0209,17.68,70,99,7.6,ES,1733485040
285,tofol,5.3248,163.0078,28.85,81,93,10.34,FM,1733485041
286,labrador city,52.9463,-66.9114,-11.57,87,100,5.66,CA,1733485042
287,hadibu,12.65,54.0333,26.58,73,8,7.46,YE,1733485043
288,ryotsu-minato,38.0833,138.4333,4.12,86,81,7.13,JP,1733485044
289,salinopolis,-0.6136,-47.3561,25.59,78,100,6.69,BR,1733485045
290,fort saskatchewan,53.7168,-113.2187,3.71,80,60,2.06,CA,1733485046
291,macau,22.2006,113.5461,22.06,68,0,3.6,MO,1733485047
292,nova vicosa,-17.8919,-39.3719,29.1,57,28,2.69,BR,1733485049
293,an muileann gcearr,53.5333,-7.35,5.3,90,100,6.45,IE,1733485050
294,badger,64.8,-147.5333,-7.05,91,100,0.0,US,1733485051
295,alesund,62.4723,6.1549,8.08,66,75,4.12,NO,1733485052
296,anupgarh,29.1911,73.2086,21.89,18,0,1.82,IN,1733485053
297,howrah,22.5892,88.3103,26.0,38,0,2.06,IN,1733485054
298,hutang,31.5333,119.4833,9.67,61,72,1.57,CN,1733485055
299,vila velha,-20.3297,-40.2925,27.75,72,20,5.66,BR,1733484888
300,lagoa formosa,-18.7786,-46.4075,26.12,59,87,3.36,BR,1733485057
301,hamilton,39.1834,-84.5333,-8.31,81,0,2.06,US,1733485009
302,al jawf,29.5,38.75,19.71,34,100,6.76,SA,1733485059
303,daru,-9.0763,143.2092,27.23,90,100,4.56,PG,1733485060
304,archangelos,36.2149,28.1149,16.84,85,100,5.56,GR,1733485062
305,barcelos,41.5388,-8.6151,16.85,76,72,1.11,PT,1733485006
306,koungou,-12.7336,45.2042,30.84,66,20,5.14,YT,1733485064
307,mount pearl,47.5166,-52.7813,8.18,96,100,19.03,CA,1733484848
308,prado,-17.3411,-39.2208,27.89,64,57,3.63,BR,1733485066
309,iwanai,42.9744,140.5089,-3.73,74,100,11.12,JP,1733485068
310,eldorado at santa fe,35.5264,-105.9347,-1.25,78,0,0.89,US,1733485069
311,nelson bay,-32.7167,152.15,23.95,92,67,5.36,AU,1733485070
312,lhasa,29.65,91.1,7.13,8,0,2.14,CN,1733485071
313,plettenberg bay,-34.0527,23.3716,23.89,52,84,6.07,ZA,1733485072
314,tahe,52.3333,124.7333,-17.52,86,9,2.97,CN,1733485074
315,luwuk,-0.9516,122.7875,24.36,84,98,1.91,ID,1733485075
316,puerto santa,-8.9906,-78.6456,17.82,91,93,1.64,PE,1733485076
317,guane,22.2025,-84.0875,17.26,92,100,1.98,CU,1733485077
318,ca mau,9.1769,105.15,24.73,95,99,1.76,VN,1733485078
319,rundu,-17.9333,19.7667,39.91,11,52,1.35,NA,1733485079
320,smithers,54.7804,-127.1743,2.18,100,100,0.0,CA,1733485080
321,tabuk,17.4189,121.4443,23.49,96,92,1.63,PH,1733485081
322,dzhetygara,52.1908,61.2006,-8.67,92,96,5.29,KZ,1733485082
323,zhongshu,24.5167,103.7667,9.17,97,97,2.23,CN,1733485083
324,nemuro,43.3236,145.575,0.61,59,34,6.67,JP,1733485084
325,bolotnoye,55.6717,84.3981,-13.27,96,83,3.28,RU,1733485086
326,talcahuano,-36.7167,-73.1167,9.82,93,0,1.03,CL,1733485087
327,waingapu,-9.6567,120.2641,26.58,86,100,3.32,ID,1733485088
328,mumford,5.2618,-0.759,29.66,59,26,4.23,GH,1733485089
329,vilyuysk,63.7553,121.6247,-14.19,95,99,2.76,RU,1733485090
330,rexburg,43.826,-111.7897,-8.01,100,20,2.06,US,1733485091
331,antsohihy,-14.8796,47.9875,33.87,41,6,2.81,MG,1733485092
332,nagqu,31.5,92.0,-4.9,16,0,0.41,CN,1733485093
333,sylva,58.0348,56.7635,-8.04,97,98,1.92,RU,1733485094
334,ashburton,-37.8626,145.0794,21.33,78,100,3.18,AU,1733485095
335,naze,28.3667,129.4833,17.51,60,61,3.67,JP,1733484877
336,bengkulu,-3.8004,102.2655,25.45,89,92,4.57,ID,1733485098
337,ikirun,7.9167,4.6667,34.3,18,13,0.92,NG,1733485099
338,volosovo,59.4333,29.4833,-3.06,85,100,4.12,RU,1733485100
339,brookings,44.3114,-96.7984,-9.0,76,0,2.06,US,1733485094
340,alotau,-10.3069,150.4462,25.27,93,100,0.74,PG,1733485102
341,flin flon,54.7682,-101.865,-13.75,86,100,2.59,CA,1733485103
342,tsetserleg,47.475,101.4542,-12.37,87,14,1.43,MN,1733485104
343,yanam,16.7333,82.2167,25.1,72,38,1.75,IN,1733485105
344,lazaro cardenas,17.9583,-102.2,23.97,87,96,2.62,MX,1733485106
345,falenki,58.3613,51.5946,-11.34,98,79,1.58,RU,1733485107
346,ust'-kut,56.7938,105.7672,-10.58,97,100,2.15,RU,1733485108
347,san clemente del tuyu,-36.3569,-56.7235,19.72,76,100,3.09,AR,1733485109
348,saddiqabad,28.3062,70.1307,24.57,9,0,3.69,PK,1733485111
349,novyy urgal,51.0736,132.5642,-27.7,98,92,0.58,RU,1733485112
350,acarau,-2.8856,-40.12,29.01,63,100,7.15,BR,1733484916
351,minas de marcona,-15.2119,-75.1103,15.3,83,100,4.85,PE,1733485114
352,tateyama,34.9833,139.8667,13.44,61,22,10.35,JP,1733485115
353,revda,56.801,59.9303,-9.18,93,18,3.49,RU,1733485116
354,haiku-pauwela,20.9219,-156.3051,19.56,75,0,3.58,US,1733485117
355,moranbah,-22.0016,148.0466,24.42,72,0,6.96,AU,1733485118
356,sheboygan,43.7333,-87.9334,-9.82,83,27,1.34,US,1733485061
357,swift current,50.2834,-107.8014,2.45,69,0,7.2,CA,1733485120
358,shalqar,47.8333,59.6,-2.19,63,71,5.16,KZ,1733485121
359,motygino,58.1831,94.7592,-6.37,93,100,4.04,RU,1733485123
360,tyukhtet,56.5389,89.3011,-8.64,91,89,3.61,RU,1733485124
361,san luis de la loma,17.2706,-100.8939,23.16,78,5,2.16,MX,1733485125
362,galesong,-5.3166,119.3661,26.13,88,100,3.66,ID,1733485126
363,bangor trident base,47.7227,-122.7145,4.81,95,100,1.34,US,1733485127
364,gopalganj,26.4667,84.4333,19.9,26,0,2.98,IN,1733485128
